id;name;release;memory;gpuclock;memoryclock;price
73;GeForce GTX 2011;2038;4326;186;3063;19502
74;GeForce GTX 2012;2026;1121;1860;2095;1923
75;GeForce GTX 2013;2025;3297;2746;4605;15889
76;GeForce GTX 2014;2022;9696;2870;1504;5490
77;GeForce GTX 2015;2017;3245;2557;3401;7250
78;GeForce GTX 2016;2037;365;2871;919;7482
79;GeForce GTX 2017;2038;5086;2517;4508;3364
80;GeForce GTX 2018;2015;9968;704;1103;17472
81;GeForce GTX 2019;2023;6605;1453;4976;14643
82;GeForce GTX 2020;2031;4223;2857;3257;15479
83;GeForce GTX 2021;2019;1836;2843;573;6192
84;GeForce GTX 2022;2039;6652;1624;1125;7421
85;GeForce GTX 2023;2040;6978;990;2012;18232
86;GeForce GTX 2024;2027;7719;1878;3021;14193
87;GeForce GTX 2025;2022;6510;314;4468;6969
88;GeForce GTX 2026;2026;4166;2693;482;13991
89;GeForce GTX 2027;2015;2278;2436;1522;10253
90;GeForce GTX 2028;2032;5396;154;501;7923
91;GeForce GTX 2029;2022;7863;797;484;14663
92;GeForce GTX 2030;2038;4244;1030;3523;2801
93;GeForce GTX 2031;2038;7777;2051;2809;18714
94;GeForce GTX 2032;2029;1589;400;904;6954
95;GeForce GTX 2033;2019;5278;1154;2387;3548
96;GeForce GTX 2034;2030;5564;1270;3211;18743
97;GeForce GTX 2035;2019;7101;2510;332;760
98;GeForce GTX 2036;2033;2976;2084;2632;4722
99;GeForce GTX 2037;2033;5214;1522;2133;19472
100;GeForce GTX 2038;2032;2481;2524;765;10995
101;GeForce GTX 2039;2035;4207;2452;1989;2019
102;GeForce GTX 2040;2032;4304;2460;4509;19202
103;GeForce GTX 2041;2020;3199;2681;470;13489
104;GeForce GTX 2042;2032;2662;1725;2100;2603
105;GeForce GTX 2043;2040;6839;2790;3892;16077
106;GeForce GTX 2044;2037;7653;1678;4619;2166
107;GeForce GTX 2045;2030;404;1873;4543;3638
108;GeForce GTX 2046;2030;3326;1720;4639;9945
109;GeForce GTX 2047;2027;955;2801;1579;12786
110;GeForce GTX 2048;2020;8928;340;3558;17607
111;GeForce GTX 2049;2025;9646;542;3564;14118
112;GeForce GTX 2050;2032;5000;1255;1335;14841
113;GeForce GTX 2051;2031;5792;2699;2971;1745
114;GeForce GTX 2052;2019;3870;277;319;7697
115;GeForce GTX 2053;2019;8230;1231;4224;11264
116;GeForce GTX 2054;2038;5631;2499;2747;12823
117;GeForce GTX 2055;2020;578;2231;2915;11295
118;GeForce GTX 2056;2032;3294;1624;3102;5749
119;GeForce GTX 2057;2018;4545;2077;423;18239
120;GeForce GTX 2058;2021;1496;1598;4494;3749
121;GeForce GTX 2059;2018;6592;411;3139;18123
122;GeForce GTX 2060;2028;6282;544;1863;5334
123;GeForce GTX 2061;2030;8460;2208;3694;5959
124;GeForce GTX 2062;2023;4246;2949;2838;10508
125;GeForce GTX 2063;2019;2745;1221;793;8295
126;GeForce GTX 2064;2024;5473;566;2006;1595
127;GeForce GTX 2065;2015;5826;1363;3492;13318
128;GeForce GTX 2066;2019;1416;1846;4538;12815
129;GeForce GTX 2067;2029;3309;1995;2307;9465
130;GeForce GTX 2068;2034;7148;304;4577;3655
131;GeForce GTX 2069;2035;6569;754;1687;3457
132;GeForce GTX 2070;2025;511;1264;4466;2399
133;GeForce GTX 2071;2037;8863;1580;1021;8270
134;GeForce GTX 2072;2016;7084;2409;3287;16884
135;GeForce GTX 2073;2029;7343;1452;4878;13609
136;GeForce GTX 2074;2024;5591;2064;2654;9782
137;GeForce GTX 2075;2025;7871;2708;2078;6530
138;GeForce GTX 2076;2029;9612;2620;1040;17834
139;GeForce GTX 2077;2033;9222;2450;4036;10098
140;GeForce GTX 2078;2038;6663;1481;4338;12773
141;GeForce GTX 2079;2019;6166;684;2350;18466
142;GeForce GTX 2080;2027;7693;308;3796;12688
143;GeForce GTX 2081;2018;1067;2752;1498;17077
144;GeForce GTX 2082;2022;2586;2562;4070;13879
145;GeForce GTX 2083;2040;5885;947;2117;10829
146;GeForce GTX 2084;2036;3403;1735;4255;2328
147;GeForce GTX 2085;2033;1667;2520;503;10758
148;GeForce GTX 2086;2019;7189;2167;1323;1811
149;GeForce GTX 2087;2034;6796;2317;1542;14278
150;GeForce GTX 2088;2022;363;432;1365;14887
151;GeForce GTX 2089;2023;2232;1023;2841;1224
152;GeForce GTX 2090;2020;1745;1816;4036;17966
153;GeForce GTX 2091;2028;3608;1362;3927;7973
154;GeForce GTX 2092;2025;3441;1337;2027;8063
155;GeForce GTX 2093;2025;3981;2202;669;17536
156;GeForce GTX 2094;2016;2474;1000;3726;7576
157;GeForce GTX 2095;2030;4111;2993;1170;10912
158;GeForce GTX 2096;2039;1741;2622;3768;6547
159;GeForce GTX 2097;2038;4191;1515;3409;2167
160;GeForce GTX 2098;2024;3283;2029;2868;6128
161;GeForce GTX 2099;2037;1211;1920;1955;8375
162;GeForce GTX 2100;2018;5903;173;2862;1113
163;GeForce GTX 2101;2040;5466;113;1782;7100
164;GeForce GTX 2102;2017;9352;2388;2941;2232
165;GeForce GTX 2103;2016;5933;1532;4262;2062
166;GeForce GTX 2104;2017;9230;781;3722;19548
167;GeForce GTX 2105;2030;2228;395;3070;2459
168;GeForce GTX 2106;2038;790;1656;475;4476
169;GeForce GTX 2107;2034;4431;1265;2231;534
170;GeForce GTX 2108;2039;1704;2945;2377;1115
171;GeForce GTX 2109;2030;1364;2402;4836;14159
172;GeForce GTX 2110;2020;4659;2760;2917;5636
173;GeForce GTX 2111;2033;5714;1356;1038;17228
174;GeForce GTX 2112;2025;7970;1197;1091;3744
175;GeForce GTX 2113;2022;9066;606;2926;17434
176;GeForce GTX 2114;2037;948;325;904;16124
177;GeForce GTX 2115;2030;3842;231;818;13447
178;GeForce GTX 2116;2027;6758;203;3608;9614
179;GeForce GTX 2117;2040;1583;2277;314;2473
180;GeForce GTX 2118;2018;5914;1852;620;10814
181;GeForce GTX 2119;2022;8575;2146;418;1873
182;GeForce GTX 2120;2033;9439;170;2778;9285
183;GeForce GTX 2121;2022;8431;2542;4631;2535
184;GeForce GTX 2122;2019;2655;2642;3246;14635
185;GeForce GTX 2123;2025;3704;2735;3878;9309
186;GeForce GTX 2124;2036;8731;778;2418;4331
187;GeForce GTX 2125;2020;1352;2638;1849;11375
188;GeForce GTX 2126;2022;3473;2081;3182;16240
189;GeForce GTX 2127;2022;6205;2145;4837;18728
190;GeForce GTX 2128;2026;9436;1335;4007;8594
191;GeForce GTX 2129;2020;7294;2458;4459;5455
192;GeForce GTX 2130;2029;2361;2607;2143;16264
193;GeForce GTX 2131;2032;6764;1808;1140;19038
194;GeForce GTX 2132;2027;4618;1796;4902;12268
195;GeForce GTX 2133;2039;4529;2479;412;10508
196;GeForce GTX 2134;2020;2135;1530;3209;16575
197;GeForce GTX 2135;2020;3352;2230;4508;19613
198;GeForce GTX 2136;2017;304;2388;1165;1217
199;GeForce GTX 2137;2038;7967;475;1309;19839
200;GeForce GTX 2138;2016;4234;836;4676;19663
201;GeForce GTX 2139;2036;708;251;3297;5763
202;GeForce GTX 2140;2040;6410;1612;1419;826
203;GeForce GTX 2141;2027;1681;2891;1554;3829
204;GeForce GTX 2142;2019;9799;1082;1420;18299
205;GeForce GTX 2143;2028;6213;1582;1053;13295
206;GeForce GTX 2144;2021;5322;645;1696;8211
207;GeForce GTX 2145;2026;6195;1064;1483;3991
208;GeForce GTX 2146;2025;8416;2282;948;17008
209;GeForce GTX 2147;2030;8564;1535;801;1821
210;GeForce GTX 2148;2032;2655;1504;1983;14505
211;GeForce GTX 2149;2032;548;2573;3442;3902
212;GeForce GTX 2150;2029;4968;917;4847;12838
213;GeForce GTX 2151;2032;8742;1518;4345;13400
214;GeForce GTX 2152;2038;6682;2921;4266;2759
215;GeForce GTX 2153;2016;5576;2769;2128;2650
216;GeForce GTX 2154;2039;9694;2215;3808;19736
217;GeForce GTX 2155;2034;6024;2878;866;16310
218;GeForce GTX 2156;2028;5050;2298;3190;11071
219;GeForce GTX 2157;2033;2270;911;1434;1799
220;GeForce GTX 2158;2026;1039;1313;4633;5161
221;GeForce GTX 2159;2020;312;1156;4340;5927
222;GeForce GTX 2160;2034;8020;372;3962;3697
223;GeForce GTX 2161;2023;5167;2388;652;15733
224;GeForce GTX 2162;2031;7355;2739;899;12744
225;GeForce GTX 2163;2032;3368;2586;807;16420
226;GeForce GTX 2164;2038;3162;795;1008;17424
227;GeForce GTX 2165;2020;9673;2818;2922;1972
228;GeForce GTX 2166;2015;9864;131;799;2495
229;GeForce GTX 2167;2029;1340;943;1859;12406
230;GeForce GTX 2168;2019;6078;1761;4770;1032
231;GeForce GTX 2169;2021;1060;724;2100;7416
232;GeForce GTX 2170;2032;3373;2159;1613;5139
233;GeForce GTX 2171;2025;5199;380;1030;1257
234;GeForce GTX 2172;2021;619;570;3739;7774
235;GeForce GTX 2173;2027;1266;2706;2039;5286
236;GeForce GTX 2174;2028;2678;2931;4954;1397
237;GeForce GTX 2175;2019;3705;416;1818;4766
238;GeForce GTX 2176;2027;5384;899;4303;10268
239;GeForce GTX 2177;2023;547;697;2591;12307
240;GeForce GTX 2178;2037;2626;476;3065;14473
241;GeForce GTX 2179;2031;8583;1598;4392;19900
242;GeForce GTX 2180;2023;3524;500;662;3367
243;GeForce GTX 2181;2018;8434;2203;4638;15240
244;GeForce GTX 2182;2037;2162;1229;1326;14604
245;GeForce GTX 2183;2024;7212;193;4367;5543
246;GeForce GTX 2184;2040;2762;2894;2242;15703
247;GeForce GTX 2185;2022;565;1703;4319;9286
248;GeForce GTX 2186;2035;7767;1428;2001;19102
249;GeForce GTX 2187;2033;9772;1468;419;5505
250;GeForce GTX 2188;2029;6443;648;2277;17653
251;GeForce GTX 2189;2026;5274;2450;1631;19860
252;GeForce GTX 2190;2024;8046;321;4079;12113
253;GeForce GTX 2191;2039;7965;1008;620;8368
254;GeForce GTX 2192;2036;1936;1277;877;8741
255;GeForce GTX 2193;2035;9869;836;1840;6324
256;GeForce GTX 2194;2039;6441;644;587;4300
257;GeForce GTX 2195;2032;6638;1112;333;16669
258;GeForce GTX 2196;2040;8195;2225;4717;18497
259;GeForce GTX 2197;2040;640;502;2138;14447
260;GeForce GTX 2198;2025;6943;2657;4238;9916
261;GeForce GTX 2199;2038;915;387;2875;18056
262;GeForce GTX 2200;2033;4367;1631;2809;16861
263;GeForce GTX 2201;2029;6754;2965;3141;4880
264;GeForce GTX 2202;2015;7550;503;3230;5688
265;GeForce GTX 2203;2023;3731;1791;3910;12365
266;GeForce GTX 2204;2027;8648;493;1720;2159
267;GeForce GTX 2205;2037;3800;352;418;11574
268;GeForce GTX 2206;2016;6213;1511;4416;16622
269;GeForce GTX 2207;2035;2144;1995;683;14053
270;GeForce GTX 2208;2038;7486;2724;2665;3966
271;GeForce GTX 2209;2030;4114;1167;3352;4832
272;GeForce GTX 2210;2036;1172;2324;4337;15930
273;GeForce GTX 2211;2026;5387;338;3866;17142
274;GeForce GTX 2212;2019;2193;1685;3533;735
275;GeForce GTX 2213;2034;8791;487;863;12288
276;GeForce GTX 2214;2020;7402;883;2611;17678
277;GeForce GTX 2215;2035;3582;665;2983;2466
278;GeForce GTX 2216;2034;4267;536;3120;7050
279;GeForce GTX 2217;2016;6213;2625;607;14072
280;GeForce GTX 2218;2023;3480;2239;4734;12751
281;GeForce GTX 2219;2019;1870;2236;643;2599
282;GeForce GTX 2220;2035;7223;2378;2075;16112
283;GeForce GTX 2221;2029;5302;505;432;2931
284;GeForce GTX 2222;2040;4888;2091;4646;13851
285;GeForce GTX 2223;2034;7785;507;985;8392
286;GeForce GTX 2224;2017;9170;111;2341;12461
287;GeForce GTX 2225;2035;2509;1434;916;7727
288;GeForce GTX 2226;2035;9906;2221;2825;17964
289;GeForce GTX 2227;2035;6303;790;4886;7893
290;GeForce GTX 2228;2035;8663;2367;554;16967
291;GeForce GTX 2229;2040;9739;1057;4328;11402
292;GeForce GTX 2230;2018;8120;2447;1729;11833
293;GeForce GTX 2231;2036;8809;157;1894;13462
294;GeForce GTX 2232;2022;1583;969;2120;1607
295;GeForce GTX 2233;2033;7394;315;3127;3836
296;GeForce GTX 2234;2039;4991;221;3452;7667
297;GeForce GTX 2235;2032;2768;1665;3778;10186
298;GeForce GTX 2236;2018;9453;2961;2010;11798
299;GeForce GTX 2237;2027;1111;1842;2948;16374
300;GeForce GTX 2238;2037;806;582;469;14590
301;GeForce GTX 2239;2024;1904;2646;4235;7906
302;GeForce GTX 2240;2036;911;2069;1701;8655
303;GeForce GTX 2241;2034;4962;1554;3776;14056
304;GeForce GTX 2242;2037;6459;813;1056;16745
305;GeForce GTX 2243;2031;9725;929;686;13936
306;GeForce GTX 2244;2037;2529;2501;4825;14414
307;GeForce GTX 2245;2034;679;1774;340;4077
308;GeForce GTX 2246;2035;3878;164;943;5505
309;GeForce GTX 2247;2020;4512;400;2674;16111
310;GeForce GTX 2248;2033;4770;209;3262;7161
311;GeForce GTX 2249;2036;6918;2142;3780;15032
312;GeForce GTX 2250;2036;3056;1463;1681;16503
313;GeForce GTX 2251;2021;5547;2216;4850;1597
314;GeForce GTX 2252;2038;336;2757;4735;13928
315;GeForce GTX 2253;2032;1077;1468;4494;1718
316;GeForce GTX 2254;2022;3980;2423;4436;18837
317;GeForce GTX 2255;2033;6920;1234;1262;7923
318;GeForce GTX 2256;2034;3081;585;3919;9303
319;GeForce GTX 2257;2038;359;2369;1048;4307
320;GeForce GTX 2258;2025;4713;1694;1065;12446
321;GeForce GTX 2259;2040;4762;650;3194;12897
322;GeForce GTX 2260;2036;4032;137;3148;13747
323;GeForce GTX 2261;2038;8326;973;2250;7690
324;GeForce GTX 2262;2037;6066;972;2312;15640
325;GeForce GTX 2263;2035;9889;1539;1184;10705
326;GeForce GTX 2264;2025;7524;2833;4917;18194
327;GeForce GTX 2265;2032;929;1368;577;977
328;GeForce GTX 2266;2021;3272;281;1503;9935
329;GeForce GTX 2267;2039;8798;1288;3899;5787
330;GeForce GTX 2268;2019;2723;962;2000;7941
331;GeForce GTX 2269;2036;7724;2198;1370;10892
332;GeForce GTX 2270;2019;7744;2509;1609;6416
333;GeForce GTX 2271;2034;1989;557;395;14438
334;GeForce GTX 2272;2033;1846;2412;3599;8230
335;GeForce GTX 2273;2037;3104;775;2366;15213
336;GeForce GTX 2274;2025;724;1174;2603;7283
337;GeForce GTX 2275;2032;2000;2841;1939;13569
338;GeForce GTX 2276;2024;6031;1433;4624;9952
339;GeForce GTX 2277;2018;2844;202;2988;2744
340;GeForce GTX 2278;2015;5717;2068;4343;14735
341;GeForce GTX 2279;2039;4208;1649;894;4878
342;GeForce GTX 2280;2037;6583;2344;2662;18662
343;GeForce GTX 2281;2020;1920;916;4988;3507
344;GeForce GTX 2282;2015;9089;107;3955;1218
345;GeForce GTX 2283;2033;496;1730;1128;4523
346;GeForce GTX 2284;2017;7589;1832;2547;895
347;GeForce GTX 2285;2030;7132;2472;2964;12429
348;GeForce GTX 2286;2025;8676;2623;1319;5297
349;GeForce GTX 2287;2037;4802;1316;624;7819
350;GeForce GTX 2288;2022;5259;2200;1034;6092
351;GeForce GTX 2289;2035;4866;2196;3595;14034
352;GeForce GTX 2290;2029;595;1424;4253;10489
353;GeForce GTX 2291;2032;688;2538;1365;633
354;GeForce GTX 2292;2032;1574;2729;1047;1188
355;GeForce GTX 2293;2028;1107;2622;3083;1109
356;GeForce GTX 2294;2021;4802;2194;3680;13779
357;GeForce GTX 2295;2040;4415;1697;1906;9064
358;GeForce GTX 2296;2034;6741;236;627;551
359;GeForce GTX 2297;2027;8085;942;1322;10407
360;GeForce GTX 2298;2024;9546;1863;1699;18365
361;GeForce GTX 2299;2034;9973;121;3609;4833
362;GeForce GTX 2300;2033;2036;1688;4378;3966
363;GeForce GTX 2301;2039;5571;1841;1454;11090
364;GeForce GTX 2302;2015;5230;2138;2338;11504
365;GeForce GTX 2303;2040;670;122;1433;3663
366;GeForce GTX 2304;2030;3604;737;2830;8504
367;GeForce GTX 2305;2030;323;2960;2266;7852
368;GeForce GTX 2306;2040;3765;389;3354;5454
369;GeForce GTX 2307;2034;5369;489;4920;6024
370;GeForce GTX 2308;2034;8318;158;2638;841
371;GeForce GTX 2309;2032;4287;2504;3363;10860
372;GeForce GTX 2310;2035;4668;2941;1888;17527
373;GeForce GTX 2311;2016;8614;2717;1986;18919
374;GeForce GTX 2312;2028;7013;2776;2066;3572
375;GeForce GTX 2313;2020;2742;513;3687;14479
376;GeForce GTX 2314;2034;9747;1477;1165;11665
377;GeForce GTX 2315;2033;9645;691;1086;17960
378;GeForce GTX 2316;2022;7549;1874;3687;3039
379;GeForce GTX 2317;2032;6528;167;1790;4827
380;GeForce GTX 2318;2023;5032;833;4243;7661
381;GeForce GTX 2319;2018;7138;1179;2389;17331
382;GeForce GTX 2320;2015;2324;2515;1844;16761
383;GeForce GTX 2321;2020;6405;553;4358;9970
384;GeForce GTX 2322;2033;7476;1648;4766;17789
385;GeForce GTX 2323;2031;3090;1610;1255;3544
386;GeForce GTX 2324;2036;9329;1641;3154;8563
387;GeForce GTX 2325;2035;8007;733;2185;5472
388;GeForce GTX 2326;2015;8118;2053;2917;16900
389;GeForce GTX 2327;2024;3063;513;2872;10506
390;GeForce GTX 2328;2021;317;142;3530;16490
391;GeForce GTX 2329;2018;2687;2175;4439;6737
392;GeForce GTX 2330;2025;8466;1821;968;1859
393;GeForce GTX 2331;2025;1169;133;4997;17703
394;GeForce GTX 2332;2034;4550;2374;2016;2988
395;GeForce GTX 2333;2024;7096;1474;2238;2627
396;GeForce GTX 2334;2018;2600;1893;1770;5791
397;GeForce GTX 2335;2038;7883;2611;3858;4496
398;GeForce GTX 2336;2027;628;2289;2057;10352
399;GeForce GTX 2337;2029;8705;147;2845;12678
400;GeForce GTX 2338;2037;4333;631;414;10456
401;GeForce GTX 2339;2034;6997;2304;4613;2183
402;GeForce GTX 2340;2039;1417;1376;2652;17896
403;GeForce GTX 2341;2039;5397;188;941;1797
404;GeForce GTX 2342;2019;3551;617;1631;14222
405;GeForce GTX 2343;2039;9097;2955;829;13988
406;GeForce GTX 2344;2021;9786;573;2086;18614
407;GeForce GTX 2345;2021;6502;1844;4199;12027
408;GeForce GTX 2346;2038;1000;152;3076;14039
409;GeForce GTX 2347;2033;1616;957;2847;16592
410;GeForce GTX 2348;2027;5990;164;4599;4492
411;GeForce GTX 2349;2021;6614;2763;2597;5902
412;GeForce GTX 2350;2032;6757;2178;2191;7836
413;GeForce GTX 2351;2035;2572;589;4508;13996
414;GeForce GTX 2352;2033;9033;1437;392;2099
415;GeForce GTX 2353;2016;8222;420;2640;15684
416;GeForce GTX 2354;2031;8102;193;3107;19983
417;GeForce GTX 2355;2018;3187;1552;3050;14068
418;GeForce GTX 2356;2015;9243;1680;2862;15644
419;GeForce GTX 2357;2031;4918;1858;2036;4995
420;GeForce GTX 2358;2016;2325;2045;660;18010
421;GeForce GTX 2359;2030;9161;1284;4453;8644
422;GeForce GTX 2360;2023;6642;1220;1125;3254
423;GeForce GTX 2361;2039;7384;1049;4718;16985
424;GeForce GTX 2362;2027;7355;367;4598;12033
425;GeForce GTX 2363;2035;8264;1367;3382;3337
426;GeForce GTX 2364;2033;5848;942;2339;10391
427;GeForce GTX 2365;2019;2707;2950;1227;7271
428;GeForce GTX 2366;2024;4369;2169;1220;17874
429;GeForce GTX 2367;2031;4412;1543;4470;743
430;GeForce GTX 2368;2019;7129;809;619;13862
431;GeForce GTX 2369;2025;8930;1057;1099;10650
432;GeForce GTX 2370;2022;1698;281;2065;15010
433;GeForce GTX 2371;2039;1528;2391;3910;2916
434;GeForce GTX 2372;2021;4720;1621;984;19534
435;GeForce GTX 2373;2037;9659;218;511;12254
436;GeForce GTX 2374;2019;8536;751;3637;10256
437;GeForce GTX 2375;2032;3930;2098;1472;19923
438;GeForce GTX 2376;2029;9119;2519;4328;15040
439;GeForce GTX 2377;2016;3963;2884;3758;1222
440;GeForce GTX 2378;2034;9568;1299;2637;15552
441;GeForce GTX 2379;2027;937;1962;2961;1812
442;GeForce GTX 2380;2030;913;1103;1964;17065
443;GeForce GTX 2381;2030;6673;1396;3351;5981
444;GeForce GTX 2382;2021;6667;592;2134;8836
445;GeForce GTX 2383;2025;9936;970;2840;2937
446;GeForce GTX 2384;2040;3362;418;3887;4442
447;GeForce GTX 2385;2021;8836;325;1226;16490
448;GeForce GTX 2386;2031;8538;1400;3690;5892
449;GeForce GTX 2387;2038;6278;126;3525;14532
450;GeForce GTX 2388;2025;7350;653;3777;7808
451;GeForce GTX 2389;2038;7100;2753;1787;10172
452;GeForce GTX 2390;2031;6986;1015;1821;17256
453;GeForce GTX 2391;2030;8517;578;3144;19676
454;GeForce GTX 2392;2039;4826;2645;465;15265
455;GeForce GTX 2393;2018;3483;2558;4597;3112
456;GeForce GTX 2394;2022;4573;1085;1864;4784
457;GeForce GTX 2395;2030;8344;2856;3644;13386
458;GeForce GTX 2396;2017;7122;456;3517;3473
459;GeForce GTX 2397;2026;9764;748;1299;19079
460;GeForce GTX 2398;2024;2365;1687;990;7096
461;GeForce GTX 2399;2021;4040;854;2502;7455
462;GeForce GTX 2400;2039;3332;778;717;16619
463;GeForce GTX 2401;2038;7552;1549;2691;7185
464;GeForce GTX 2402;2028;1401;2357;1785;6662
465;GeForce GTX 2403;2017;5799;1292;4035;1339
466;GeForce GTX 2404;2020;4204;191;2637;9896
467;GeForce GTX 2405;2034;7331;2668;678;7432
468;GeForce GTX 2406;2034;5211;1254;2242;1043
469;GeForce GTX 2407;2025;1993;2537;3940;9770
470;GeForce GTX 2408;2022;1060;211;3874;652
471;GeForce GTX 2409;2019;1270;1600;3115;15830
472;GeForce GTX 2410;2037;1585;2049;3590;9943
473;GeForce GTX 2411;2017;5166;191;4834;17959
474;GeForce GTX 2412;2023;4843;1762;2215;1065
475;GeForce GTX 2413;2028;8953;2984;3910;5720
476;GeForce GTX 2414;2015;7325;2534;3857;15080
477;GeForce GTX 2415;2025;7986;2904;4333;3211
478;GeForce GTX 2416;2037;6071;1634;951;10070
479;GeForce GTX 2417;2036;8427;2694;2598;3371
480;GeForce GTX 2418;2040;516;468;4136;2245
481;GeForce GTX 2419;2020;3123;2498;2797;8575
482;GeForce GTX 2420;2033;4919;1386;2386;19422
483;GeForce GTX 2421;2036;5504;462;1327;13564
484;GeForce GTX 2422;2038;6821;154;1344;6773
485;GeForce GTX 2423;2023;5704;1216;3106;18319
486;GeForce GTX 2424;2031;7832;450;3024;13776
487;GeForce GTX 2425;2020;7644;2571;4595;11413
488;GeForce GTX 2426;2030;2016;1717;985;565
489;GeForce GTX 2427;2016;9593;1225;4312;3998
490;GeForce GTX 2428;2036;332;1961;2433;12790
491;GeForce GTX 2429;2029;5438;1654;3859;13372
492;GeForce GTX 2430;2019;5446;716;3212;5395
493;GeForce GTX 2431;2016;7314;2751;4892;3692
494;GeForce GTX 2432;2023;4403;2552;3538;10176
495;GeForce GTX 2433;2037;9321;1503;1201;11345
496;GeForce GTX 2434;2030;8139;2388;3370;19184
497;GeForce GTX 2435;2029;4141;1649;2194;10235
498;GeForce GTX 2436;2036;1838;1581;2803;7867
499;GeForce GTX 2437;2022;6690;2365;855;12774
500;GeForce GTX 2438;2023;1288;856;1160;1336
501;GeForce GTX 2439;2024;3157;1287;2561;8575
502;GeForce GTX 2440;2025;2923;822;4528;3646
503;GeForce GTX 2441;2026;7142;1757;4216;19861
504;GeForce GTX 2442;2027;2737;694;3462;15152
505;GeForce GTX 2443;2028;9062;952;4080;17694
506;GeForce GTX 2444;2029;3338;2179;4886;17566
507;GeForce GTX 2445;2030;5714;1611;3391;1243
508;GeForce GTX 2446;2031;2071;733;2050;15308
509;GeForce GTX 2447;2032;8713;2481;2819;5496
